id,address,zip_code,latitude,longitude,city,state,categories,rating,name,price_level
AVwdPK3bkufWRAb53wLj,4312 Ridge Rd,44144,41.43924378,-81.73568205,Cleveland,OH,Pizza Place,4.1,Geppetto's,1
AVwdN39oByjofQCxmu9Y,717 Sterlington Hwy,71241,32.77083563,-92.39532123,Farmerville,LA,Pizza Place,4.2,Johnny's Pizza House,2
AVweMcWG_7pvs4fzA3hU,1577 Coburg Rd,97401,44.07913278,-123.0677806,Eugene,OR,Pizza Place,4.1,Papa's Pizza Parlor,2
AVweCz7JkufWRAb5_gtb,179 SW 250th St,32669,29.64498172,-82.60638218,Newberry,FL,"Pizza Place,Restaurant",,,
AVwd-gAs_7pvs4fz-8Gz,203 N Main St,43402,41.37624548,-83.65051423,Bowling Green,OH,Pizza Place,4.4,Pisanello's Pizza,1
AVwdCcB_IN2L1WUfrjvU,117 S Main St,62236,38.44239653,-90.19928813,Columbia,IL,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",4.5,Joe Boccardi's,2
AVwcnpjZIN2L1WUfnBCy,1050 E Ray Rd,85225,33.32082,-111.82304,Chandler,AZ,"Pizza Place,Caterers,Restaurants,Pizza",,,
AVwclwe9kufWRAb5w3Bj,928 S Mayflower Rd,46619,41.66372,-86.32198000000002,South Bend,IN,"Pizza Place,Pizza,Restaurants,Take Out Restaurants",3.5,Papa John's Pizza,1
AVwdNbmS_7pvs4fz3bpT,3571 Brookwall Dr,44333,41.13375116,-81.63874914,Akron,OH,Pizza Place,,,
AVwdlvhNByjofQCxqm3l,1905 50th St,79412,33.548657,-101.859517,Lubbock,TX,Pizza Place,,,
AVwdUUle_7pvs4fz4m0P,2473 S Braeswood Blvd,77030,29.69713,-95.41746,Houston,TX,"Pizza Place,Restaurant,Pizza,Restaurants,Pizza Restaurants",,,
AVwdKcovkufWRAb528j9,705 E 21st St,88101,34.41913529,-103.19758,Clovis,NM,Pizza Place,,,
AVwd5MQgIN2L1WUf0JFo,615 Erie Blvd W,13440,43.21503702,-75.47144514,Rome,NY,Pizza Place,4.4,Dicastro's Brick Oven Pizza,2
AVwdaw8_IN2L1WUfvm3H,662 Peeksville Rd,30248,33.35046888,-84.09163489,Locust Grove,GA,Pizza Place,,,
AVwcxKYTIN2L1WUforqV,300 W 29th St,21211,39.32223,-76.62254,Baltimore,MD,"Pizza Place,Catering,Restaurants,Sandwich Shops,Pizza",,,
AVwcqsnGIN2L1WUfnjV5,720 Logan Valley Mall,16602,40.46919938,-78.41174729,Altoona,PA,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant",,,
AVwcuJfJByjofQCxhciN,15720 Main St NE,98019,47.74192100000001,-121.985853,Duvall,WA,Pizza Place,4.4,Red Pepper Pizzeria & Pasta Duvall,2
AVwcnbALByjofQCxgRak,1922 West Park,28659,36.1557128,-81.16268548,North Wilkesboro,NC,Pizza Place,,,
AVwc94jTIN2L1WUfq1AY,214 N Lombardy St,23220,37.55047,-77.45936,Richmond,VA,"Restaurants,Pizza Place The Fan,Pizza Place",,,
AVwcvZzbIN2L1WUfoXV3,1976 Echo Hollow Rd,97402,44.0839722,-123.1683382,Eugene,OR,Pizza Place,3.9,Abby's Legendary Pizza,2
AVwdFKiqByjofQCxlTib,3337 Fulton St,11208,40.68367,-73.87260699999999,Brooklyn,NY,Pizza Place,4.3,Mike's Pizza,2
AVwcr4heByjofQCxhD2B,2310 Virginia Pkwy,75071,33.198826000000004,-96.642706,McKinney,TX,"Pizza Place,Restaurants,Pizza,Take Out Restaurants",,,
AVwczbTcIN2L1WUfpEFM,8706 W Golf Rd,60714,42.05480777,-87.84323635,Niles,IL,Pizza Place,4.3,Nancy's Pizza & Restaurant,2
AVwdURG9ByjofQCxn0zY,5821 E Charleston Blvd,89142,36.15815,-115.0470513,Las Vegas,NV,Pizza Place,3.8,Angelina's Pizza,1
AVwczFSkIN2L1WUfpAaH,1001A E 162nd St,60473,41.6005876,-87.59280308,South Holland,IL,Pizza Place,,,
AVwdhHzjkufWRAb56rCx,301 S Blakely St,18512,41.4193,-75.6326,Scranton,PA,"Pizza Place,Restaurants",,,
AVwcsKIzkufWRAb5x-L4,109-5 Capcom Ave,27587,35.95055183,-78.52860759999999,Wake Forest,NC,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",,,
AVwdqxZ4IN2L1WUfyGGx,59 Marble Ave,10570,41.131494,-73.790872,Pleasantville,NY,"Pizza Place,Restaurant",4.4,Wood & Fire,2
AVwdKXFYByjofQCxmIyZ,1126 E Lovejoy St,14206,42.88975893,-78.80674718,Buffalo,NY,Pizza Place,4,Carbone's Pizzeria,1
